concept,instrument,class,year,trades,expR,totR,pf
A3 Donchian H4 Swing,SPX500,index,2017,59,-0.0647768695429246,-3.821835303032551,0.8991110529834964
A3 Donchian H4 Swing,SPX500,index,2018,82,0.22166816208181273,18.176789290708644,1.4167890329267858
A3 Donchian H4 Swing,SPX500,index,2019,80,0.14571778108059155,11.657422486447324,1.2801623875210946
A3 Donchian H4 Swing,SPX500,index,2020,82,0.18824912026265297,15.436427861537544,1.3403442924910243
TSMomentum,NDX100,index,2015,33,-0.14198540492428582,-4.6855183625014325,0.7786496178305554
TSMomentum,NDX100,index,2016,39,-0.20253651642812864,-7.898924140697017,0.7198261068013985
TSMomentum,NDX100,index,2017,37,0.5203298510328012,19.252204488213643,2.1946881774152818
TSMomentum,NDX100,index,2018,53,-0.0012626820886024758,-0.06692215069593122,0.9980441217671626
TSMomentum,NDX100,index,2019,50,-0.17147706651616623,-8.573853325808312,0.7251861969704348
TSMomentum,NDX100,index,2020,37,0.26199629509289385,9.693862918437073,1.5682535913254254
TurnOfMonth,NDX100,index,2015,11,-0.12389444744021111,-1.3628389218423222,0.5864887357438845
TurnOfMonth,NDX100,index,2016,13,-0.0910019070715366,-1.183024791929976,0.6926074152727724
TurnOfMonth,NDX100,index,2017,13,0.40819792869129096,5.306573072986782,6.3279668185947004
TurnOfMonth,NDX100,index,2018,13,0.05718717660767377,0.743433295899759,1.1686555560011807
TurnOfMonth,NDX100,index,2019,13,-0.0611046821758041,-0.7943608682854533,0.8678968509779724
TurnOfMonth,NDX100,index,2020,11,0.4262661288164622,4.688927416981084,3.29290449651996
ShortTermReversal,NDX100,index,2015,31,-0.22499769899639677,-6.9749286688883,0.5926110310290539
ShortTermReversal,NDX100,index,2016,39,-0.017384761389987666,-0.678005694209519,0.9626234304625423
ShortTermReversal,NDX100,index,2017,32,0.5657551707909798,18.104165465311354,2.4961568599419977
ShortTermReversal,NDX100,index,2018,49,0.3405793073013219,16.688386057764774,1.8504037038762167
ShortTermReversal,NDX100,index,2019,50,0.19632710224191607,9.816355112095804,1.4242730051795074
ShortTermReversal,NDX100,index,2020,27,0.18833377712786417,5.0850119824523325,1.3619121151013345
VolContraction,NDX100,index,2015,29,0.07500964081738672,2.175279583704215,1.1343482829389822
VolContraction,NDX100,index,2016,26,-0.33210569491992487,-8.634748067918046,0.49549136981515274
VolContraction,NDX100,index,2017,30,0.0944526702087964,2.833580106263892,1.1471902336279975
VolContraction,NDX100,index,2018,31,0.41487991763799575,12.86127744677787,1.9121606083732097
VolContraction,NDX100,index,2019,29,-0.31563998436649787,-9.153559546628438,0.5473701363740251
VolContraction,NDX100,index,2020,17,-0.2533534460380695,-4.307008582647181,0.5719366560616047
A3 Donchian H4 Swing,NDX100,index,2015,73,-0.07384523115794792,-5.390701874530198,0.8739073205793567
A3 Donchian H4 Swing,NDX100,index,2016,70,-0.137529354497098,-9.627054814796859,0.7838327321921468
A3 Donchian H4 Swing,NDX100,index,2017,67,0.30081156973107115,20.154375171981766,1.5500181858258855
A3 Donchian H4 Swing,NDX100,index,2018,93,0.1891728967957026,17.593079402000342,1.31036006371244
A3 Donchian H4 Swing,NDX100,index,2019,84,-0.0002975278998503964,-0.024992343587433297,0.9994751152487633
A3 Donchian H4 Swing,NDX100,index,2020,66,0.13434845543386123,8.866998058634842,1.237782690706864
