hold,side,min_surp,weight,hard_stop,trail_stop,trades,sharpe,cagr,maxdd,t
40,short,0.0,0.05,0.1,0.05,53,0.3926174512914528,0.0018481055271140079,-0.013356850439023904,1.0808303469402876
90,short,0.0,0.2,0.1,0.05,53,0.3926174512914528,0.007277240184840883,-0.05258407358422379,1.0808303469402876
90,short,0.0,0.1,0.1,0.05,53,0.3926174512914528,0.003677118164703508,-0.026572510653594117,1.0808303469402876
60,short,0.0,0.2,0.1,0.05,53,0.3926174512914528,0.007277240184840883,-0.05258407358422379,1.0808303469402876
60,short,0.0,0.05,0.1,0.05,53,0.3926174512914528,0.0018481055271140079,-0.013356850439023904,1.0808303469402876
90,short,0.0,0.05,0.1,0.05,53,0.3926174512914528,0.0018481055271140079,-0.013356850439023904,1.0808303469402876
40,short,0.0,0.1,0.1,0.05,53,0.3926174512914528,0.003677118164703508,-0.026572510653594117,1.0808303469402876
40,short,0.0,0.2,0.1,0.05,53,0.3926174512914528,0.007277240184840883,-0.05258407358422379,1.0808303469402876
60,short,0.0,0.1,0.1,0.05,53,0.3926174512914528,0.003677118164703508,-0.026572510653594117,1.0808303469402876
60,long,0.05,0.05,,,116,0.39073850234214347,0.015390026872295293,-0.06602344840796182,1.0756578182152272
60,long,0.05,0.2,,,116,0.39073850234214347,0.052239594145206736,-0.24878547421273367,1.0756578182152272
60,long,0.05,0.1,,,116,0.39073850234214347,0.02926902171094481,-0.12951306897552195,1.0756578182152272
20,long,0.1,0.2,,,78,0.39063722598542566,0.016350039448875142,-0.11052525938869884,1.0753790161410755
20,long,0.1,0.05,,,78,0.39063722598542566,0.004244995158600995,-0.027994963045869903,1.0753790161410755
20,long,0.1,0.1,,,78,0.39063722598542566,0.008385977854041382,-0.05576392941880037,1.0753790161410755
90,long,0.1,0.05,0.15,,78,0.38764291007482093,0.010012184910175081,-0.05213847474549138,1.067136011420164
90,long,0.1,0.1,0.15,,78,0.38764291007482093,0.019405225645042323,-0.10288837777857485,1.067136011420164
90,long,0.1,0.2,0.15,,78,0.38764291007482093,0.03626972335790013,-0.19993338139687633,1.067136011420164
90,long,0.0,0.2,,,168,0.385144994289896,0.07396408296848933,-0.5114017699706449,1.0602595387224596
90,long,0.0,0.05,,,168,0.385144994289896,0.026811720090951674,-0.15414924266544583,1.0602595387224596
90,long,0.0,0.1,,,168,0.385144994289896,0.048284230994044997,-0.2899303339974739,1.0602595387224596
40,short,0.02,0.1,0.05,0.1,44,0.3790720613782323,0.004806466051949787,-0.033204649644522855,1.0435414581474163
40,short,0.02,0.2,0.05,0.1,44,0.3790720613782323,0.009468651052614518,-0.0656744124558406,1.0435414581474163
40,short,0.02,0.05,0.05,0.1,44,0.3790720613782323,0.0024211132243596722,-0.016694264393007696,1.0435414581474163
20,short,0.02,0.2,0.1,0.1,44,0.3788460412519636,0.008741762886300686,-0.08064558172890446,1.0429192509309848
20,short,0.02,0.05,0.1,0.1,44,0.3788460412519636,0.0022311957872609423,-0.02069589279032058,1.0429192509309848
20,short,0.02,0.1,0.1,0.1,44,0.3788460412519636,0.004432043873980884,-0.041032302471842086,1.0429192509309848
60,long,0.05,0.2,0.1,,116,0.37388242712974484,0.031191314655987235,-0.14027394825895567,1.02925499643555
60,long,0.05,0.05,0.1,,116,0.37388242712974484,0.008537465650657383,-0.03597161566373708,1.02925499643555
60,long,0.05,0.1,0.1,,116,0.37388242712974484,0.016589158191691045,-0.07136161870250768,1.02925499643555
60,short,0.0,0.1,0.05,0.1,53,0.3721733295441252,0.005396920754395129,-0.0368190900342199,1.0245500488323707
